corde,case,note,fréquence (Hz)
E,0,E1,41.2
E,1,F1,43.65
E,2,F♯1,46.25
E,3,G1,49.0
E,4,G♯1,51.91
E,5,A1,55.0
E,6,A♯1,58.27
E,7,B1,61.73
E,8,C2,65.4
E,9,C♯2,69.29
E,10,D2,73.41
E,11,D♯2,77.78
E,12,E2,82.4
E,13,F2,87.3
E,14,F♯2,92.49
E,15,G2,97.99
E,16,G♯2,103.82
E,17,A2,109.99
E,18,A♯2,116.53
E,19,B2,123.46
E,20,C3,130.8
E,21,C♯3,138.58
E,22,D3,146.82
E,23,D♯3,155.55
E,24,E3,164.8
A,0,A1,55.0
A,1,A♯1,58.27
A,2,B1,61.74
A,3,C2,65.41
A,4,C♯2,69.3
A,5,D2,73.42
A,6,D♯2,77.78
A,7,E2,82.41
A,8,F2,87.31
A,9,F♯2,92.5
A,10,G2,98.0
A,11,G♯2,103.83
A,12,A2,110.0
A,13,A♯2,116.54
A,14,B2,123.47
A,15,C3,130.81
A,16,C♯3,138.59
A,17,D3,146.83
A,18,D♯3,155.56
A,19,E3,164.81
A,20,F3,174.61
A,21,F♯3,185.0
A,22,G3,196.0
A,23,G♯3,207.65
A,24,A3,220.0
D,0,D2,73.42
D,1,D♯2,77.79
D,2,E2,82.41
D,3,F2,87.31
D,4,F♯2,92.5
D,5,G2,98.0
D,6,G♯2,103.83
D,7,A2,110.01
D,8,A♯2,116.55
D,9,B2,123.48
D,10,C3,130.82
D,11,C♯3,138.6
D,12,D3,146.84
D,13,D♯3,155.57
D,14,E3,164.82
D,15,F3,174.62
D,16,F♯3,185.01
D,17,G3,196.01
D,18,G♯3,207.66
D,19,A3,220.01
D,20,A♯3,233.09
D,21,B3,246.95
D,22,C4,261.64
D,23,C♯4,277.2
D,24,D4,293.68
G,0,G2,98.0
G,1,G♯2,103.83
G,2,A2,110.0
G,3,A♯2,116.54
G,4,B2,123.47
G,5,C3,130.81
G,6,C♯3,138.59
G,7,D3,146.83
G,8,D♯3,155.57
G,9,E3,164.82
G,10,F3,174.62
G,11,F♯3,185.0
G,12,G3,196.0
G,13,G♯3,207.65
G,14,A3,220.0
G,15,A♯3,233.08
G,16,B3,246.94
G,17,C4,261.63
G,18,C♯4,277.19
G,19,D4,293.67
G,20,D♯4,311.13
G,21,E4,329.63
G,22,F4,349.23
G,23,F♯4,370.0
G,24,G4,392.0
